Time,BAC,BDT,CLIFTON_COURT,FRK_FRANKSTRACT,GLCGS,GLE,MDM,MHO,MSD,MTB,OLD,ORCCF,PPT,RINDG,SJG,UNI,VIC,VNI,WDCUT
07Apr2004,4.247,1.313,7.323,3.568,3.216,1.437,7.709,18.487,1.043,36.537,3.827,5.214,4.604,5.588,2.274,1.298,9.132,7.550,4.637
08Apr2004,4.365,1.629,7.167,3.558,3.515,1.760,7.641,21.927,1.283,30.728,4.099,4.974,4.546,5.645,2.671,1.685,8.823,7.237,4.777
09Apr2004,4.534,1.902,7.143,3.556,3.562,2.163,7.666,19.658,1.463,29.987,4.269,5.167,4.661,5.628,3.006,1.909,8.998,6.867,5.067
10Apr2004,4.567,2.199,7.283,3.558,4.053,2.378,7.686,23.506,1.631,27.926,4.708,5.717,4.584,5.591,3.466,2.112,8.797,6.493,5.119
11Apr2004,4.570,2.456,7.498,3.557,4.140,2.559,7.747,25.478,1.690,27.077,4.967,6.217,4.526,5.504,3.920,2.250,8.706,6.209,5.101
12Apr2004,4.507,2.446,7.611,3.550,4.507,2.631,7.817,34.147,1.453,22.538,5.169,6.275,4.441,5.393,4.113,2.185,8.215,5.889,4.981
13Apr2004,4.456,1.569,7.670,3.532,6.869,2.814,7.876,58.836,1.269,16.304,5.042,7.328,4.535,4.927,2.388,2.868,8.206,5.663,4.927
14Apr2004,4.449,1.482,7.730,3.513,7.221,3.397,7.989,52.036,1.330,11.881,7.123,7.413,4.737,4.148,1.793,7.415,8.357,5.533,4.909
15Apr2004,4.528,1.597,7.785,3.499,7.360,4.196,8.049,45.346,1.199,10.657,9.133,7.590,4.936,4.466,1.822,12.817,8.527,5.613,5.071
16Apr2004,4.680,1.269,7.853,3.504,7.014,6.583,8.146,44.639,1.043,10.878,13.235,7.626,5.195,3.714,1.666,6.985,8.768,5.631,5.347
17Apr2004,4.833,1.094,7.929,3.526,6.586,9.545,8.194,43.978,0.973,11.242,17.186,7.362,5.461,2.831,1.305,4.546,8.863,5.615,5.617
18Apr2004,5.058,0.773,7.989,3.564,7.370,9.937,8.262,44.086,0.355,11.669,17.914,7.751,5.703,2.537,1.083,4.417,9.049,5.604,5.891
19Apr2004,5.307,0.240,8.035,3.620,8.808,9.911,8.363,47.226,0.170,12.308,15.899,8.691,5.774,2.268,0.474,3.664,9.343,5.596,6.178
20Apr2004,5.593,0.573,8.133,3.682,9.672,9.961,8.498,50.834,0.610,13.240,14.009,9.442,5.760,2.092,0.709,2.600,9.768,5.676,6.519
21Apr2004,5.822,1.061,8.336,3.756,10.195,9.541,8.738,55.488,0.868,14.330,12.139,9.989,5.765,1.845,1.361,3.369,10.215,5.714,6.850
22Apr2004,6.180,1.277,8.466,3.842,10.435,9.181,8.947,57.547,1.116,15.142,13.239,10.363,5.722,1.966,1.610,4.128,10.702,5.869,7.244
23Apr2004,6.332,1.542,8.676,3.947,10.704,9.190,9.074,55.816,1.303,15.141,17.321,10.837,5.612,2.506,1.936,4.612,10.790,6.054,7.493
24Apr2004,6.319,1.647,9.045,4.044,10.913,9.803,9.118,50.555,1.373,14.414,21.118,11.140,5.417,2.939,2.072,4.833,10.662,6.368,7.552
25Apr2004,6.422,1.782,9.485,4.134,11.046,10.749,9.144,50.847,1.566,14.350,24.187,11.278,5.342,3.300,2.170,5.048,10.708,6.682,7.751
26Apr2004,6.537,1.885,9.703,4.231,11.445,11.836,9.367,51.262,1.536,14.506,27.080,11.708,5.322,3.593,2.350,5.351,11.083,7.020,7.960
27Apr2004,6.535,1.789,9.924,4.329,12.169,12.838,9.451,50.274,1.540,14.500,29.052,12.305,5.317,3.563,2.204,5.196,11.174,7.505,8.011
28Apr2004,6.530,1.858,10.228,4.427,12.625,13.202,9.450,49.125,1.565,14.554,30.516,12.718,5.338,3.623,2.275,4.385,11.330,8.239,7.970
29Apr2004,6.693,1.721,10.583,4.528,13.102,12.014,9.502,51.432,1.346,15.357,31.694,13.084,5.459,3.351,2.166,3.569,11.595,8.762,8.164
30Apr2004,6.732,1.526,10.813,4.635,13.247,11.379,9.472,52.863,1.310,15.549,31.645,13.333,5.561,3.184,1.877,3.164,11.663,9.184,8.284
01May2004,6.828,1.609,11.033,4.740,12.854,11.064,9.374,51.403,1.388,15.505,31.078,13.217,5.674,3.074,1.950,3.247,11.533,9.400,8.306
