Time,BAC,BDT,CLIFTON_COURT,FRK_FRANKSTRACT,GLCGS,GLE,MDM,MHO,MSD,MTB,OLD,ORCCF,PPT,RINDG,SJG,UNI,VIC,VNI,WDCUT
24May1990,2.538,0.005,3.175,1.499,3.677,0.011,8.982,2.973,0.0000,7.952,0.013,4.711,3.272,40.858,3.031,0.000,9.035,4.006,2.435
25May1990,2.620,0.005,3.227,1.494,3.833,0.005,8.843,2.979,0.0000,8.120,0.009,4.883,3.228,41.236,3.167,0.000,8.904,3.719,2.557
26May1990,2.707,0.004,3.237,1.502,3.886,0.003,8.724,2.990,0.0000,8.217,0.006,4.921,3.215,41.719,3.153,0.000,8.728,3.661,2.667
27May1990,2.679,0.005,3.313,1.511,3.983,0.002,8.684,3.055,0.0000,8.236,0.004,4.972,3.060,41.949,3.494,0.000,8.563,3.516,2.723
28May1990,2.692,0.002,3.401,1.516,3.511,0.001,8.605,2.116,0.0000,7.461,0.002,4.512,3.063,42.414,2.526,0.000,8.382,3.643,2.725
29May1990,2.754,0.000,3.425,1.544,2.414,0.000,8.588,0.804,0.0000,5.491,0.003,3.958,3.526,43.944,0.245,0.000,8.106,3.843,2.760
30May1990,2.670,0.000,3.422,1.594,2.418,0.000,8.783,0.230,0.0000,3.635,0.004,4.017,3.830,44.322,0.041,0.000,7.917,3.888,2.763
31May1990,2.685,0.000,3.419,1.658,2.234,0.000,8.943,0.074,0.0000,2.239,0.004,3.885,4.302,42.400,0.054,0.000,7.765,4.420,2.693
01Jun1990,2.664,0.000,3.433,1.732,2.386,0.000,9.096,0.017,0.0000,1.588,0.003,4.171,4.684,39.407,0.071,0.000,7.935,6.134,2.677
02Jun1990,2.659,0.000,3.484,1.800,3.047,0.000,9.351,0.028,0.0000,2.356,0.002,5.015,4.722,36.866,0.116,0.000,8.583,6.443,2.648
03Jun1990,2.749,0.000,3.480,1.846,3.476,0.000,9.425,0.211,0.0000,5.775,0.001,5.299,4.634,35.604,0.287,0.000,8.971,5.750,2.667
04Jun1990,2.802,0.000,3.473,1.879,3.745,0.000,9.511,0.541,0.0000,7.603,0.001,5.301,4.520,35.079,0.464,0.000,9.178,5.800,2.726
05Jun1990,2.840,0.000,3.502,1.899,4.022,0.000,9.710,1.224,0.0000,8.340,0.000,5.217,4.301,34.974,0.674,0.000,9.252,5.915,2.783
