Time,BAC,BDT,CLIFTON_COURT,FRK_FRANKSTRACT,GLCGS,GLE,MDM,MHO,MSD,MTB,OLD,ORCCF,PPT,RINDG,SJG,UNI,VIC,VNI,WDCUT
05Apr1990,86.201,0.044,81.289,85.319,25.985,0.018,81.554,48.038,0.000,79.391,0.000,70.436,89.400,39.168,1.359,0.000,81.142,85.171,85.889
06Apr1990,86.233,0.065,80.451,85.380,32.659,0.483,81.694,54.461,0.000,79.787,0.009,75.795,89.508,40.008,1.526,0.000,81.252,85.060,85.974
07Apr1990,86.296,0.088,80.599,85.509,33.468,0.987,82.038,56.861,0.000,80.008,0.182,74.536,89.622,40.700,1.688,0.000,81.453,85.069,86.026
08Apr1990,86.421,0.099,80.913,85.714,29.191,1.317,82.169,57.776,0.000,80.219,0.473,73.751,89.700,40.852,1.738,0.000,81.744,85.423,86.102
09Apr1990,86.586,0.117,81.307,85.994,26.587,1.534,82.128,58.048,0.000,80.638,0.821,73.610,89.889,40.620,1.839,0.000,81.777,85.957,86.221
10Apr1990,86.908,0.171,81.771,86.257,33.442,1.550,82.238,57.998,0.000,81.056,1.089,74.693,90.346,40.880,2.192,0.001,81.791,86.634,86.455
11Apr1990,87.248,0.240,82.178,86.430,35.435,1.451,82.359,58.597,0.000,81.049,1.046,74.270,90.603,41.827,2.525,0.001,81.962,87.300,86.812
12Apr1990,87.423,0.387,82.478,86.508,37.432,1.255,82.602,58.385,0.000,80.881,1.207,72.563,90.715,42.452,3.003,0.003,82.076,87.824,87.041
13Apr1990,87.467,0.628,82.728,86.535,42.646,0.999,82.972,57.429,0.000,80.691,1.552,71.774,90.842,43.552,3.538,0.009,82.407,88.445,87.175
14Apr1990,87.501,1.104,82.904,86.527,48.147,0.731,83.472,57.584,0.000,80.701,1.651,72.016,91.040,45.073,4.268,0.029,82.812,88.961,87.242
15Apr1990,87.522,1.859,83.097,86.473,53.226,0.597,83.848,58.768,0.000,80.975,1.456,71.570,91.085,46.961,5.023,0.095,83.341,89.274,87.290
16Apr1990,87.560,2.430,83.387,86.508,43.498,0.746,84.458,57.969,0.000,81.158,1.280,65.649,91.149,47.951,5.513,0.128,83.689,89.944,87.346
17Apr1990,87.692,2.489,83.705,86.713,29.287,1.149,84.971,58.024,0.000,81.305,1.119,63.309,91.306,47.130,5.609,0.058,84.281,90.524,87.394
18Apr1990,87.812,2.481,83.978,87.047,29.946,1.419,85.199,57.049,0.000,81.542,1.168,66.150,91.613,45.723,5.671,0.038,84.615,91.028,87.534
19Apr1990,88.032,2.521,84.083,87.437,35.208,1.215,85.307,55.987,0.000,82.294,1.333,71.604,91.847,44.865,5.795,0.033,84.714,90.661,87.646
20Apr1990,88.418,2.548,84.146,87.853,30.504,1.321,85.127,57.489,0.000,83.106,1.006,75.000,92.022,44.404,5.901,0.033,84.793,89.496,87.882
21Apr1990,88.769,2.722,84.455,88.268,31.260,1.654,85.044,58.766,0.000,83.664,0.783,78.910,92.239,45.139,6.117,0.034,84.672,88.273,88.236
22Apr1990,89.172,2.912,84.687,88.644,34.435,1.515,85.240,59.981,0.000,83.766,0.773,79.172,92.451,45.395,6.342,0.049,84.697,87.865,88.459
23Apr1990,89.571,2.928,84.832,88.935,31.823,1.372,85.610,62.339,0.000,83.627,0.756,76.071,92.607,46.474,6.436,0.053,85.071,88.143,89.050
24Apr1990,89.646,2.541,84.962,89.113,37.526,0.924,85.697,54.286,0.000,82.968,1.082,71.508,92.366,46.048,6.200,0.028,85.083,88.906,89.270
25Apr1990,89.607,1.923,84.861,89.244,40.829,0.488,85.856,53.578,0.000,82.986,0.714,70.613,92.186,44.607,5.898,0.009,85.175,88.856,89.189
26Apr1990,89.563,1.606,85.092,89.234,40.352,0.228,85.895,53.788,0.000,82.957,0.494,69.192,92.055,42.698,5.860,0.007,85.312,88.228,89.187
27Apr1990,89.465,1.540,85.325,89.163,41.675,0.175,85.804,53.412,0.000,82.923,0.426,68.157,91.743,42.717,6.028,0.010,85.365,87.374,89.156
28Apr1990,89.353,1.472,85.405,89.141,44.226,0.136,85.698,52.087,0.000,82.789,0.447,69.816,91.533,42.323,6.069,0.009,85.370,87.895,89.043
29Apr1990,89.155,1.399,85.337,89.103,53.075,0.107,86.008,51.182,0.000,82.745,0.359,71.434,91.240,41.608,6.037,0.006,85.264,87.110,88.810
30Apr1990,89.017,0.807,85.203,89.119,46.518,0.061,86.146,46.854,0.000,82.024,0.208,70.197,91.002,38.481,5.113,0.000,85.430,85.357,88.478
01May1990,88.900,0.310,84.945,89.184,53.100,0.037,85.947,45.079,0.000,81.962,0.116,67.727,90.827,34.719,4.077,0.000,85.320,84.518,88.318
02May1990,88.799,0.070,84.792,89.254,49.162,0.025,85.651,44.488,0.000,81.910,0.078,64.984,90.668,31.491,2.877,0.000,85.250,84.465,88.193
03May1990,88.658,0.006,84.489,89.311,42.872,0.011,85.344,40.165,0.000,81.449,0.052,63.548,90.351,27.774,1.443,0.000,84.936,84.786,87.990
04May1990,88.500,0.000,83.978,89.347,44.256,0.006,85.024,37.897,0.000,81.206,0.039,64.993,90.040,24.033,0.674,0.000,84.544,85.012,87.750
05May1990,88.306,0.000,83.520,89.351,46.925,0.005,84.726,38.376,0.000,81.290,0.032,66.049,89.864,21.543,0.410,0.000,84.123,84.937,87.520
06May1990,88.176,0.000,82.289,89.310,43.773,0.003,84.446,36.695,0.000,80.889,0.026,64.923,89.669,19.649,0.321,0.000,83.833,84.662,87.346
07May1990,87.944,0.000,81.543,89.228,39.491,0.003,84.198,33.059,0.000,80.285,0.021,59.341,89.281,17.488,0.249,0.000,83.453,84.310,87.068
08May1990,87.795,0.000,81.388,89.125,42.781,0.002,83.946,31.529,0.000,79.984,0.018,60.709,89.073,15.839,0.235,0.000,83.218,84.044,86.828
